OPID,SV,OS,CRS,Status
TECH-1564,44,10000,500K to 1M,Won
ERP-1003,68,33078,500K to 1M,Loss
ERP-1612,81,25000,500K to 1M,Won
ERP-1947,64,49508,500K to 1M,Loss
ERP-1917,77,42832,500K to 1M,Loss
TECH-1849,48,0,500K to 1M,Loss
TECH-1513,77,5813,250K to 500K,Loss
ERP-1850,28,52431,100K to 250K,Loss
ERP-1076,73,54171,500K to 1M,Loss
ERP-1898,67,46929,500K to 1M,Loss
ERP-1749,77,40281,500K to 1M,Loss
ERP-1295,80,47608,500K to 1M,Loss
ERP-1847,68,48477,100K to 250K,Loss
ERP-1291,68,55437,100K to 250K,Loss
ERP-1029,76,33014,500K to 1M,Loss
ERP-1661,68,1162,500K to 1M,Won
ERP-1406,61,55380,500K to 1M,Loss
ERP-1306,67,29748,500K to 1M,Won
TECH-1698,74,47380,500K to 1M,Loss
ERP-1531,67,49806,500K to 1M,Loss
ERP-1341,62,42765,250K to 500K,Loss
ERP-1789,69,10657,500K to 1M,Loss
ERP-1861,49,45710,500K to 1M,Loss
TECH-1539,49,0,500K to 1M,Loss
TECH-1688,75,50479,500K to 1M,Loss
TECH-1901,75,59414,500K to 1M,Loss
ERP-1928,62,56309,500K to 1M,Loss
ERP-1230,62,40607,500K to 1M,Loss
ERP-1532,73,51098,500K to 1M,Loss
TECH-1668,75,129821,500K to 1M,Loss
ERP-1295,44,1300,500K to 1M,Won
ERP-1494,67,49428,100K to 250K,Loss
ERP-1870,75,3890,500K to 1M,Loss
ERP-1232,44,34124,500K to 1M,Won
ERP-1895,44,0,500K to 1M,Won
ERP-1607,56,43127,100K to 250K,Loss
ERP-1849,67,18072,500K to 1M,Loss
ERP-1575,64,59457,500K to 1M,Won
TECH-1969,62,49043,500K to 1M,Loss
ERP-1015,66,63001,500K to 1M,Loss
TECH-1560,49,49753,100K to 250K,Loss
TECH-1794,21,58036,100K to 250K,Loss
ERP-1240,32,49190,500K to 1M,Loss
TECH-1941,67,117966,500K to 1M,Loss
ERP-1383,54,40012,500K to 1M,Loss
ERP-1024,58,45597,500K to 1M,Loss
ERP-1130,61,59356,500K to 1M,Loss
ERP-1935,2,43784,500K to 1M,Loss
ERP-1062,64,43157,500K to 1M,Loss
ERP-1549,65,2906,500K to 1M,Won
ERP-1137,48,2000,500K to 1M,Won
TECH-1430,64,58259,500K to 1M,Loss
ERP-1449,29,54112,100K to 250K,Loss
ERP-1514,43,40916,500K to 1M,Loss
TECH-1134,51,32141,500K to 1M,Loss
